,,cow_id,quarter,1_date,1_visit,1_farm,1_order,1_path_1,1_path1_imi,1_path_2,1_path2_imi,1_path_3,1_path3_imi,1_path_4,1_path4_imi,1_quarter_code,1_isolate_1,1_path_1_maldi_final_id,1_fix_1,1_isolate_2,1_path_2_maldi_final_id,1_fix_2,1_isolate_3,1_path_3_maldi_final_id,1_fix_3,1_isolate_4,1_path_4_maldi_final_id,1_fix_4,1_clinical,1_blind,1_teatinj,1_pstmilking,1_mixed_inf_series,1_dup_not_collected,1_imi_series,1_hygiene_scorer_1,1_hygiene_1,1_hygiene_scorer_2,1_hygiene_2,1_cc_1,1_cc_2,1_cc_3,1_scc,1_contam,1_contam_comment,1_dup_a_cfu_count,1_dup_b_cfu_count,1_more_than_2_org_present,2_date,2_visit,2_farm,2_order,2_path_1,2_path1_imi,2_path_2,2_path2_imi,2_path_3,2_path3_imi,2_path_4,2_path4_imi,2_quarter_code,2_isolate_1,2_path_1_maldi_final_id,2_fix_1,2_isolate_2,2_path_2_maldi_final_id,2_fix_2,2_isolate_3,2_path_3_maldi_final_id,2_fix_3,2_isolate_4,2_path_4_maldi_final_id,2_fix_4,2_clinical,2_blind,2_teatinj,2_pstmilking,2_mixed_inf_series,2_dup_not_collected,2_imi_series,2_hygiene_scorer_1,2_hygiene_1,2_hygiene_scorer_2,2_hygiene_2,2_cc_1,2_cc_2,2_cc_3,2_scc,2_contam,2_contam_comment,2_dup_a_cfu_count,2_dup_b_cfu_count,2_more_than_2_org_present
395,B395,80_Glennview,RF,2.19.2020,second,Glennview,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,3600000,,,,,,3.19.2020,third,Glennview,18,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,3600000,,,,,
396,B396,80_Glennview,RH,2.19.2020,second,Glennview,11,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,5000,,,,,,3.19.2020,third,Glennview,18,bacillus,no5,,,,,,,5,gv134,bacillus species,,,,,,,,,,,,,,,,,no,j,1,c,2,NA,NA,NA,4000,,,0,1,
397,B397,84_Glennview,LF,2.19.2020,second,Glennview,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,26000,,,,,,3.19.2020,third,Glennview,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,14000,,,,,
398,B398,84_Glennview,LH,2.19.2020,second,Glennview,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,21000,,,,,,3.19.2020,third,Glennview,32,corynebac,yes2,,,,,,,2,gv155,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,8000,,,3,7,
399,B399,84_Glennview,RF,2.19.2020,second,Glennview,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,11000,,,,,,3.19.2020,third,Glennview,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,13000,,,,,
400,B400,84_Glennview,RH,2.19.2020,second,Glennview,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,13000,,,,,,3.19.2020,third,Glennview,32,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,11000,,,,,
401,B401,86_Choiniere,LF,1.21.2020,second,Choiniere,10,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,4200000,,,,,,2.17.2020,third,Choiniere,19,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,770000,,,,,
402,B402,86_Choiniere,LH,1.21.2020,second,Choiniere,10,sa,yes24,corynebac,yes24,strep,yes24,,,24,cf096,staphylococcus aureus,,cf097,corynebacterium variabile,,cf098,streptococcus uberis,,,,,,,,,yes,,yes,j,1,c,1,NA,NA,NA,2200000,,,,,yes,2.17.2020,third,Choiniere,19,sa,yes24,corynebac,yes24,strep,yes24,,,24,cf160,staphylococcus aureus,,cf161,corynebacterium casei,,cf162,streptococcus uberis,,,,,,,,,yes,,yes,j,2,NA,NA,NA,NA,NA,930000,,,,,yes
403,B403,86_Choiniere,RF,1.21.2020,second,Choiniere,10,strep,yes1,,,,,,,1,cf099,no id,no_got_contam_no_maldi,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,500000,,,tntc,tntc,yes,2.17.2020,third,Choiniere,19,strep,yes2,strep,other18,,,,,2,cf163,streptococcus uberis,,cf164,streptococcus uberis,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,710000,,,,,yes
404,B404,86_Choiniere,RH,1.21.2020,second,Choiniere,10,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,150000,yes,,,,,2.17.2020,third,Choiniere,19,strep,yes27,corynebac,yes27,,,,,27,cf165,streptococcus uberis,,cf166,no id,yes_nochange,,,,,,,,,,,yes,,yes,j,2,NA,NA,NA,NA,NA,120000,,,,,yes
405,B405,89_Choiniere,LF,1.21.2020,second,Choiniere,25,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,14000,,,,,,2.17.2020,third,Choiniere,28,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,15000,yes,,,,
406,B406,89_Choiniere,LH,1.21.2020,second,Choiniere,25,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,44000,,,,,,2.17.2020,third,Choiniere,28,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,47000,yes,,,,
407,B407,89_Choiniere,RF,1.21.2020,second,Choiniere,25,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,6000,,,,,,2.17.2020,third,Choiniere,28,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,7000,,,,,
408,B408,89_Choiniere,RH,1.21.2020,second,Choiniere,25,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,21000,,,,,,2.17.2020,third,Choiniere,28,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,26000,,,,,
409,B409,9_Choiniere,LF,1.21.2020,second,Choiniere,3,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,2,c,2,NA,NA,NA,NA,,,,,,2.17.2020,third,Choiniere,9,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,2,NA,NA,NA,NA,NA,NA,,,,,
410,B410,9_Choiniere,LH,1.21.2020,second,Choiniere,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,11000,,,,,,2.17.2020,third,Choiniere,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,8000,,,,,
411,B411,9_Choiniere,RF,1.21.2020,second,Choiniere,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,29000,,,,,,2.17.2020,third,Choiniere,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,39000,,,,,
412,B412,9_Choiniere,RH,1.21.2020,second,Choiniere,3,sa,yes2,,,,,,,2,cf084,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,840000,,,tntc,tntc,,2.17.2020,third,Choiniere,9,sa,yes2,,,,,,,2,cf147,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,1200000,,,tntc,50,
413,B413,93_Choiniere,LF,1.21.2020,second,Choiniere,23,sa,yes2,,,,,,,2,cf114,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,2500000,,,6,17,,2.17.2020,third,Choiniere,18,sa,yes2,,,,,,,2,cf158,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,1800000,,,14,9,
414,B414,93_Choiniere,LH,1.21.2020,second,Choiniere,23,sa,yes2,,,,,,,2,cf113,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,1700000,,,1,1,,2.17.2020,third,Choiniere,18,corynebac,other12,,,,,,,12,cf157,corynebacterium variabile,,,,,,,,,,,,,,,,,no,j,2,NA,NA,NA,NA,NA,880000,,,5,cont,
415,B415,93_Choiniere,RF,1.21.2020,second,Choiniere,23,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,3400000,,,,,,2.17.2020,third,Choiniere,18,cns,yes2,,,,,,,2,cf159,staphylococcus equorum,,,,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,1000000,,,1,2,
416,B416,93_Choiniere,RH,1.21.2020,second,Choiniere,23,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,490000,,,,,,2.17.2020,third,Choiniere,18,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,1600000,,,,,
417,B417,93_Glennview,LF,2.19.2020,second,Glennview,36,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,3,NA,NA,NA,0,,,,,,3.19.2020,third,Glennview,13,cns,yes29,,,,,,,29,gv124,staphylococcus equorum,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,30000,,,1,1,
418,B418,93_Glennview,LH,2.19.2020,second,Glennview,36,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,3,NA,NA,NA,4000,,,,,,3.19.2020,third,Glennview,13,corynebac,yes27,cns,yes27,,,,,27,gv122,corynebacterium casei,,gv123,staphylococcus equorum,,,,,,,,,,,,yes,,yes,j,1,c,2,NA,NA,NA,26000,,,,,yes
419,B419,93_Glennview,RF,2.19.2020,second,Glennview,36,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,3,NA,NA,NA,79000,,,,,,3.19.2020,third,Glennview,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,38000,,,,,
420,B420,93_Glennview,RH,2.19.2020,second,Glennview,36,strep,yes27,cns,yes27,,,,,27,gv099,streptococcus uberis,,gv100,staphylococcus equorum,,,,,,,,,,,,yes,,yes,m,2,c,3,NA,NA,NA,3900000,,,,,yes,3.19.2020,third,Glennview,13,strep,yes27,corynebac,yes27,,,,,27,gv125,streptococcus uberis,,gv126,corynebacterium species,,,,,,,,,,,,yes,,yes,j,1,c,2,NA,NA,NA,380000,,,,,yes
421,B421,97_Choiniere,LF,1.21.2020,second,Choiniere,24,strep,yes2,,,,,,,2,cf116,streptococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,1400000,,,tntc,tntc,,2.17.2020,third,Choiniere,27,sa,yes2,,,,,,,2,cf173,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,4,NA,NA,NA,NA,NA,1400000,,,tntc,tntc,
422,B422,97_Choiniere,LH,1.21.2020,second,Choiniere,24,strep,yes2,,,,,,,2,cf115,streptococcus dysgalactiae,,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,5200000,,,30,tntc,,2.17.2020,third,Choiniere,27,strep,yes2,,,,,,,2,cf172,streptococcus species,,,,,,,,,,,,,,,no,,yes,j,4,NA,NA,NA,NA,NA,1600000,,,cont,cont,
423,B423,97_Choiniere,RF,1.21.2020,second,Choiniere,24,sa,yes2,,,,,,,2,cf118,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,2000000,,,tntc,tntc,,2.17.2020,third,Choiniere,27,strep,yes27,corynebac,yes27,,,,,27,cf170,streptococcus dysgalactiae,,cf171,corynebacterium ulcerans,,,,,,,,,,,,yes,,yes,j,4,NA,NA,NA,NA,NA,1900000,,,tntc,tntc,yes
424,B424,97_Choiniere,RH,1.21.2020,second,Choiniere,24,sa,yes2,,,,,,,2,cf117,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,870000,,,tntc,tntc,,2.17.2020,third,Choiniere,27,sa,no12,,,,,,,12,cf174,staphylococcus aureus,,,,,,,,,,,,,,,,,no,j,4,NA,NA,NA,NA,NA,2400000,,,cont,cont,yes
425,B425,abbazaba_StonyPond,LF,1.10.2020,second,StonyPond,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,470000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,B426,abbazaba_StonyPond,LH,1.10.2020,second,StonyPond,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,710000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,B427,abbazaba_StonyPond,RF,1.10.2020,second,StonyPond,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,420000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,B428,abbazaba_StonyPond,RH,1.10.2020,second,StonyPond,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,560000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,B429,abbi_StonyPond,LF,1.10.2020,second,StonyPond,25,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,170000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,B430,abbi_StonyPond,LH,1.10.2020,second,StonyPond,25,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,740000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,B431,abbi_StonyPond,RF,1.10.2020,second,StonyPond,25,strep,other12,cns,other12,,,,,12,sp063,streptococcus uberis,,sp064,staphylococcus xylosus,,,,,,,,,,,,,,no,j,2,NA,NA,NA,NA,NA,120000,yes,coryne and strep,cont,cont,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,B432,abbi_StonyPond,RH,1.10.2020,second,StonyPond,25,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,130000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,B433,abigail_vonTrapp,LF,2.12.2020,second,vonTrapp,15,kocuria,yes2,,,,,,,2,vt048,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,110000,,,1,1,,3.10.2020,third,vonTrapp,15,kocuria,other26,corynebac,other26,,,,,26,vt081,kocuria palustris,yes_from_cns_to_kocuria,vt105,no id,yes_nochange,,,,,,,,,,,tbd,,yes,j,1,c,1,NA,NA,NA,200000,,,,,
434,B434,abigail_vonTrapp,LH,2.12.2020,second,vonTrapp,15,strep,yes2,,,,,,,2,vt047,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,2400000,,,tntc,tntc,,3.10.2020,third,vonTrapp,15,strep,yes2,,,,,,,2,vt080,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,1700000,,,tntc,tntc,
435,B435,abigail_vonTrapp,RF,2.12.2020,second,vonTrapp,15,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,38000,,,,,,3.10.2020,third,vonTrapp,15,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,94000,,,,,
436,B436,abigail_vonTrapp,RH,2.12.2020,second,vonTrapp,15,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,24000,,,,,,3.10.2020,third,vonTrapp,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,36000,,,,,
437,B437,alaska_StonyPond,LF,1.10.2020,second,StonyPond,16,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,30000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,B438,alaska_StonyPond,LH,1.10.2020,second,StonyPond,16,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,29000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,B439,alaska_StonyPond,RF,1.10.2020,second,StonyPond,16,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,61000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,B440,alaska_StonyPond,RH,1.10.2020,second,StonyPond,16,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,21000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,B441,alexis_StonyPond,LF,1.10.2020,second,StonyPond,31,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,3,NA,NA,NA,NA,NA,1300000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,B442,alexis_StonyPond,LH,1.10.2020,second,StonyPond,31,macrococcus,other8,corynebac,other8,gramneg.coli,other8,,,8,sp069,macrococcus canis,yes_from_cns_to_macrococcus,sp068,corynebacterium glutamicum,,sp067,escherichia coli,yes_from_gramneg.noncoli_to_gramneg.coli,,,,,,,,,,no,j,3,NA,NA,NA,NA,NA,800000,,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,B443,alexis_StonyPond,RF,1.10.2020,second,StonyPond,31,cns,yes2,,,,,,,2,sp072,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,NA,NA,NA,NA,NA,6100000,,,25,50,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,B444,alexis_StonyPond,RH,1.10.2020,second,StonyPond,31,cns,yes1,cns,no5,,,,,1,sp070,staphylococcus chromogenes,,sp071,staphylococcus haemolyticus,,,,,,,,,,,,no,,yes,j,3,NA,NA,NA,NA,NA,760000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,B445,alf_OughtaBe,LF,2.14.2020,second,OughtaBe,24,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,t,1,c,1,NA,NA,NA,130000,,,,,,3.12.2020,third,OughtaBe,22,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,49000,,,,,
446,B446,alf_OughtaBe,LH,2.14.2020,second,OughtaBe,24,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,t,1,c,1,NA,NA,NA,NA,,,,,,3.12.2020,third,OughtaBe,22,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,2,c,3,NA,NA,NA,NA,,,,,
447,B447,alf_OughtaBe,RF,2.14.2020,second,OughtaBe,24,cns,yes2,,,,,,,2,ob091,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,1,c,1,NA,NA,NA,1000000,,,tntc,30,,3.12.2020,third,OughtaBe,22,cns,yes2,,,,,,,2,ob148,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,410000,,,tntc,tntc,
448,B448,alf_OughtaBe,RH,2.14.2020,second,OughtaBe,24,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,1,c,1,NA,NA,NA,42000,,,,,,3.12.2020,third,OughtaBe,22,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,33000,,,,,
449,B449,alice_vonTrapp,LF,2.12.2020,second,vonTrapp,23,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,12000,,,,,,3.10.2020,third,vonTrapp,20,cns,yes2,,,,,,,2,vt087,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,240000,,,4,10,
450,B450,alice_vonTrapp,LH,2.12.2020,second,vonTrapp,23,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,4000,,,,,,3.10.2020,third,vonTrapp,20,cns,other11,cns,other11,,,,,11,vt086,staphylococcus xylosus,,vt088,staphylococcus chromogenes,,,,,,,,,,,,no,,no,j,3,c,4,NA,NA,NA,2000,,,2,4,
451,B451,alice_vonTrapp,RF,2.12.2020,second,vonTrapp,23,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,9000,,,,,,3.10.2020,third,vonTrapp,20,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,4,NA,NA,NA,5000,,,,,
452,B452,alice_vonTrapp,RH,2.12.2020,second,vonTrapp,23,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,260000,,,,,,3.10.2020,third,vonTrapp,20,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,4,NA,NA,NA,120000,,,,,
453,B453,alma_vonTrapp,LF,2.12.2020,second,vonTrapp,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,2000,,,,,,3.10.2020,third,vonTrapp,11,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,3000,,,,,
454,B454,alma_vonTrapp,LH,2.12.2020,second,vonTrapp,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,2000,,,,,,3.10.2020,third,vonTrapp,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,4000,,,,,
455,B455,alma_vonTrapp,RF,2.12.2020,second,vonTrapp,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,2000,,,,,,3.10.2020,third,vonTrapp,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,3000,,,,,
456,B456,alma_vonTrapp,RH,2.12.2020,second,vonTrapp,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,0,,,,,,3.10.2020,third,vonTrapp,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,2000,,,,,
457,B457,aloha_OughtaBe,LF,2.14.2020,second,OughtaBe,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,51000,,,,,,3.12.2020,third,OughtaBe,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,6000,,,,,
458,B458,aloha_OughtaBe,LH,2.14.2020,second,OughtaBe,2,cns,yes2,cns,other18,,,,,2,ob056,staphylococcus warneri,,ob058,staphylococcus warneri,,,,,,,,,,,,no,,yes,t,2,c,2,NA,NA,NA,2600000,,,tntc,tntc,,3.12.2020,third,OughtaBe,2,cns,yes2,,,,,,,2,ob111,staphylococcus warneri,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,130000,,,tntc,tntc,
459,B459,aloha_OughtaBe,RF,2.14.2020,second,OughtaBe,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,6000,,,,,,3.12.2020,third,OughtaBe,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,3000,,,,,
460,B460,aloha_OughtaBe,RH,2.14.2020,second,OughtaBe,2,kocuria,yes1,,,,,,,1,ob057,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,t,2,c,2,NA,NA,NA,10000,,,6,7,,3.12.2020,third,OughtaBe,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,2000,,,,,
461,B461,amarillo_Lynd,LF,1.30.2020,second,Lynd,12,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,39000,,,,,,3.5.2020,third,Lynd,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,43000,,,,,
